የኦነግ	postedited_morphemes.json
ይላል	postedited_morphemes.json
አክራሪነት	postedited_morphemes.json
የውጭና	postedited_morphemes.json
በአዲስ	postedited_morphemes.json
ሁላችሁም	postedited_morphemes.json
ለሀገራችን	postedited_morphemes.json
ለጥቃቅንና	postedited_morphemes.json
ለፈረንጅ	postedited_morphemes.json
ሊወጋን	postedited_morphemes.json
ልጆቻችን	postedited_morphemes.json
ሕያዊቷ	postedited_morphemes.json
መንግስትም	postedited_morphemes.json
መግለጫ	postedited_morphemes.json
መጽሐፈ	postedited_morphemes.json
ማህበሩ	postedited_morphemes.json
ምነው	postedited_morphemes.json
ምኒልክብለው	postedited_morphemes.json
ምንን	postedited_morphemes.json
ምዕመናን	postedited_morphemes.json
ሰባተኛ	postedited_morphemes.json
ስትራቴጂው	postedited_morphemes.json
በላይ	postedited_morphemes.json
በሚሌኒየም	postedited_morphemes.json
በምርት	postedited_morphemes.json
በስነ	postedited_morphemes.json
በቀጣይ	postedited_morphemes.json
በቦንድ	postedited_morphemes.json
በአገር	postedited_morphemes.json
በአጉል	postedited_morphemes.json
በኢትዮጵያና	postedited_morphemes.json
በክልሉ	postedited_morphemes.json
በግምገማ	postedited_morphemes.json
በጠቅላይ	postedited_morphemes.json
በፍቅር	postedited_morphemes.json
በልማት	postedited_morphemes.json
ቤተክርስትያኗ	postedited_morphemes.json
በትግራይ	postedited_morphemes.json
ችግሩ	postedited_morphemes.json
ብሎ	postedited_morphemes.json
ቦንዱን	postedited_morphemes.json
ታሪክና	postedited_morphemes.json
ኅብረተሰቡ	postedited_morphemes.json
ንጉስም	postedited_morphemes.json
አላቸው	postedited_morphemes.json
አስተዳደር	postedited_morphemes.json
አስቸኳይ	postedited_morphemes.json
አባቴን	postedited_morphemes.json
አይቻልም	postedited_morphemes.json
አገሩንም	postedited_morphemes.json
አገሩንና	postedited_morphemes.json
አገሬ	postedited_morphemes.json
ኢንስቲትዩቱ	postedited_morphemes.json
እለቱ	postedited_morphemes.json
እርስዎንም	postedited_morphemes.json
እስካሁን	postedited_morphemes.json
እቤቴ	postedited_morphemes.json
እኔንስ	postedited_morphemes.json
እንኳን	postedited_morphemes.json
እንደገና	postedited_morphemes.json
እንግዲህ	postedited_morphemes.json
እገሌና	postedited_morphemes.json
ከህዝብና	postedited_morphemes.json
ከቅርብ	postedited_morphemes.json
ከዚህ	postedited_morphemes.json
ካርታውን	postedited_morphemes.json
ክትባት	postedited_morphemes.json
ክፉ	postedited_morphemes.json
ወደፊትም	postedited_morphemes.json
ወጣቶቹ	postedited_morphemes.json
ውይይት	postedited_morphemes.json
የህዝብን	postedited_morphemes.json
የመንገድ	postedited_morphemes.json
የሚያተርፈው	postedited_morphemes.json
የማይደርስ	postedited_morphemes.json
የራበኽ	postedited_morphemes.json
የሲዳማ	postedited_morphemes.json
የስራ	postedited_morphemes.json
የቅዱስ	postedited_morphemes.json
የተሀድሶ	postedited_morphemes.json
የተኩማ	postedited_morphemes.json
የቲቢ	postedited_morphemes.json
የትምህርት	postedited_morphemes.json
የአማራውን	postedited_morphemes.json
የአቅማችንን	postedited_morphemes.json
የአቅም	postedited_morphemes.json
የእናቶችና	postedited_morphemes.json
የእንኳን	postedited_morphemes.json
የወታደሮች	postedited_morphemes.json
የውሃ	postedited_morphemes.json
የዜግነት	postedited_morphemes.json
የግሉ	postedited_morphemes.json
የግደቡ	postedited_morphemes.json
የፌዴሬሽኑ	postedited_morphemes.json
የፍላጎት	postedited_morphemes.json
ያሉት	postedited_morphemes.json
ይሄንን	postedited_morphemes.json
ይህም	postedited_morphemes.json
ይልና	postedited_morphemes.json
ይዟቸው	postedited_morphemes.json
ደሕንነትህ	postedited_morphemes.json
ደንበኛ	postedited_morphemes.json
ጀግንነት	postedited_morphemes.json
ገንዘቡ	postedited_morphemes.json
ግንዛቤ	postedited_morphemes.json
ጦሩ	postedited_morphemes.json
ዳግማዊ	postedited_morphemes.json
ለእስክንድር_ነጋ	postedited_morphemes.json
በጠቅላይ_ሚኒስትር	postedited_morphemes.json
ባለቤትነት	postedited_morphemes.json
ሊያፍነን	postedited_morphemes.json
በየካቲት	postedited_morphemes.json
ብዙ	postedited_morphemes.json
አይሆንም	postedited_morphemes.json
እንውጋው	postedited_morphemes.json
ከህዳር	postedited_morphemes.json
ከሸዋ	postedited_morphemes.json
ክረምቱን	postedited_morphemes.json
የደብረ	postedited_morphemes.json
ጃንሆይም	postedited_morphemes.json
ሌሊቱን	postedited_morphemes.json
በህዳር	postedited_morphemes.json
በሰኔ	postedited_morphemes.json
እንደዚህ	postedited_morphemes.json
በሚሌኒየሙ	postedited_morphemes.json
በሥሩ	postedited_morphemes.json
ችግሩን	postedited_morphemes.json
ከአማራ	postedited_morphemes.json
ወቅቱ	postedited_morphemes.json
የማሽኑ	postedited_morphemes.json
የቴክኒክና	postedited_morphemes.json
የከተሞች	postedited_morphemes.json
የኪራይ	postedited_morphemes.json
የዓለም	postedited_morphemes.json
ለችግሩ	postedited_morphemes.json
ማድረግ	postedited_morphemes.json
በኮምፒውተር	postedited_morphemes.json
ተፈጥሮ	postedited_morphemes.json
ተፈጥሮን	postedited_morphemes.json
የሰላምን	postedited_morphemes.json
የነፋስ	postedited_morphemes.json
የኢትዮጵያ	postedited_morphemes.json
የፌዴራል	postedited_morphemes.json
የጂማ	postedited_morphemes.json
የኢጣሊያ	postedited_morphemes.json
ከመላው	postedited_morphemes.json
33ኛውን	postedited_morphemes.json
4ኛው	postedited_morphemes.json
ለምሳሌ	postedited_morphemes.json
ህወሓትባለፉት	postedited_morphemes.json
ህዋሳትን	postedited_morphemes.json
3ዜጎች	postedited_morphemes.json
ለዐጤ	postedited_morphemes.json
ለጥልያን	postedited_morphemes.json
ሊፍትም	postedited_morphemes.json
ሌላው	postedited_morphemes.json
ሎሌአቸው	postedited_morphemes.json
ሕይወታቸው	postedited_morphemes.json
መንግሥት	postedited_morphemes.json
መከላከያ	postedited_morphemes.json
መወጣጫዎች	postedited_morphemes.json
ምናልባትም	postedited_morphemes.json
ምንም	postedited_morphemes.json
ሦስተኛው	postedited_morphemes.json
ርዝመት	postedited_morphemes.json
ሰቅዛ	postedited_morphemes.json
ሱፐርቫዘሮች	postedited_morphemes.json
ስንቅና	postedited_morphemes.json
ቃላዊ	postedited_morphemes.json
ቅንጅትና	postedited_morphemes.json
ቅንጅት	postedited_morphemes.json
